Name,Image,Known For
Burak Özçivit,"<img src=""https://image.tmdb.org/t/p/w500/pF8EHDM2ETDT2X2Pwg3Ak0ZCPAY.jpg"" width=""300"">","Known for To Die For, My Brother 2, and My Brother"
Elle Fanning,"<img src=""https://image.tmdb.org/t/p/w500/e8CUyxQSE99y5IOfzSLtHC0B0Ch.jpg"" width=""300"">","Known for Maleficent, A Complete Unknown, and The Curious Case of Benjamin Button"
Ashley Johnson,"<img src=""https://image.tmdb.org/t/p/w500/8s36QwB7Zq3PrbY1W6a6ctTFFoe.jpg"" width=""300"">","Known for The Avengers, The Help, and What Women Want"
Andrew Garfield,"<img src=""https://image.tmdb.org/t/p/w500/5ydZ6TluPtxlz5G8nlWMB7SGmow.jpg"" width=""300"">","Known for Spider-Man: No Way Home, Hacksaw Ridge, and The Amazing Spider-Man"
Tamannaah Bhatia,"<img src=""https://image.tmdb.org/t/p/w500/t4WYoKiFAyO1Rhjv7O03EKmJHp4.jpg"" width=""300"">","Known for Bāhubali: The Beginning, K.G.F: Chapter 1, and Raid 2"
Rami Malek,"<img src=""https://image.tmdb.org/t/p/w500/ewr46CGOdsx5NzAJdIzEBz2yIQh.jpg"" width=""300"">","Known for The Amateur, Oppenheimer, and Bohemian Rhapsody"
A.S. Ravi Kumar Chowdary,,Actor/Actress
John Goodman,"<img src=""https://image.tmdb.org/t/p/w500/yyYqoyKHO7hE1zpgEV2XlqYWcNV.jpg"" width=""300"">","Known for Monsters, Inc., 10 Cloverfield Lane, and Transformers: The Last Knight"
Ryan Gosling,"<img src=""https://image.tmdb.org/t/p/w500/asoKC7CLCqpZKZDL6iovNurQUdf.jpg"" width=""300"">","Known for Barbie, Blade Runner 2049, and The Notebook"
Eddie Redmayne,"<img src=""https://image.tmdb.org/t/p/w500/ndDYYzuC0dQqQh6Ao6thxC8lGkS.jpg"" width=""300"">","Known for Fantastic Beasts: The Secrets of Dumbledore, Fantastic Beasts and Where to Find Them, and Fantastic Beasts: The Crimes of Grindelwald"
Michele Morrone,"<img src=""https://image.tmdb.org/t/p/w500/saKjzGAuw8Fiutlv9LweLjAti0Z.jpg"" width=""300"">","Known for 365 Days: This Day, Another Simple Favor, and Home Sweet Home: Rebirth"
Dwayne Johnson,"<img src=""https://image.tmdb.org/t/p/w500/5QApZVV8FUFlVxQpIK3Ew6cqotq.jpg"" width=""300"">","Known for Moana 2, Baywatch, and Fast & Furious Presents: Hobbs & Shaw"
Salman Khan,"<img src=""https://image.tmdb.org/t/p/w500/n7pKtccmf2jVOz8Qn90q2ThqLge.jpg"" width=""300"">","Known for Sikandar, Pathaan, and Om Shanti Om"
Noah Lamanna,"<img src=""https://image.tmdb.org/t/p/w500/fKoy2DGr5EBXpQT4aKW72o6wb5X.jpg"" width=""300"">","Known for Dream Scenario, Luckiest Girl Alive, and World's Best"
Trisha Krishnan,"<img src=""https://image.tmdb.org/t/p/w500/jfeAV0VeAQhKONzIv1UEYbklJGn.jpg"" width=""300"">","Known for Thug Life, Good Bad Ugly, and Leo"
Katheryn Winnick,"<img src=""https://image.tmdb.org/t/p/w500/vQSqH3ybDWZHZIqX4NZKhOCXAhQ.jpg"" width=""300"">","Known for The Dark Tower, Love & Other Drugs, and 50 First Dates"
Isabela Merced,"<img src=""https://image.tmdb.org/t/p/w500/5R1oi4PH7GXWETJS8SbSo673gJt.jpg"" width=""300"">","Known for Superman, Alien: Romulus, and Migration"
Zhao Lusi,"<img src=""https://image.tmdb.org/t/p/w500/bcI3FjK6SHdqEdLpGMDx2pUgfTH.jpg"" width=""300"">","Known for Autumn Fairy Tale, Moments We Shared, and City of Rock"
Mckenna Grace,"<img src=""https://image.tmdb.org/t/p/w500/s0SJ0Yce1H3C7kI9DvGxmmQq3cg.jpg"" width=""300"">","Known for Ready Player One, Ghostbusters: Afterlife, and PAW Patrol: The Mighty Movie"
Harris Yulin,"<img src=""https://image.tmdb.org/t/p/w500/3W758yxhdphzblpgDz4wKgLCriB.jpg"" width=""300"">","Known for Scarface, Rush Hour 2, and Training Day"
Robert Pattinson,"<img src=""https://image.tmdb.org/t/p/w500/3qZ09UE7lN6AtorfXFRYpEtSY93.jpg"" width=""300"">","Known for Mickey 17, Harry Potter and the Goblet of Fire, and Twilight"
Sylvester Stallone,"<img src=""https://image.tmdb.org/t/p/w500/gn3pDWthJqR0VDYGViGD3048og7.jpg"" width=""300"">","Known for Guardians of the Galaxy Vol. 2, Alarum, and Guardians of the Galaxy Vol. 3"
Reese Witherspoon,"<img src=""https://image.tmdb.org/t/p/w500/o1z4UwW2137IViFIRk8AV8hWze1.jpg"" width=""300"">","Known for Sing 2, American Psycho, and Legally Blonde"
Ben Affleck,"<img src=""https://image.tmdb.org/t/p/w500/aTcqu8cI4wMohU17xTdqmXKTGrw.jpg"" width=""300"">","Known for The Accountant², The Accountant, and The Flash"
Kathryn Hahn,"<img src=""https://image.tmdb.org/t/p/w500/9sVllAKfEls3SJD3GoPm2JEZoa5.jpg"" width=""300"">","Known for Spider-Man: Across the Spider-Verse, Spider-Man: Into the Spider-Verse, and Hotel Transylvania: Transformania"
Kirsten Dunst,"<img src=""https://image.tmdb.org/t/p/w500/5dI5s8Oq2Ook5PFzTWMW6DCXVjm.jpg"" width=""300"">","Known for Civil War, Spider-Man, and Spider-Man 3"
Jennifer Connelly,"<img src=""https://image.tmdb.org/t/p/w500/wdmcJagSRJ65AuJ4IUCzuHAdvgy.jpg"" width=""300"">","Known for Top Gun: Maverick, Spider-Man: Homecoming, and Dark City"
Kate Winslet,"<img src=""https://image.tmdb.org/t/p/w500/cPRq7uH3PIFcHilP15BrMKunink.jpg"" width=""300"">","Known for Titanic, Avatar: The Way of Water, and Eternal Sunshine of the Spotless Mind"
Mark Wahlberg,"<img src=""https://image.tmdb.org/t/p/w500/bTEFpaWd7A6AZVWOqKKBWzKEUe8.jpg"" width=""300"">","Known for Flight Risk, The Family Plan, and Transformers: The Last Knight"
Kristen Stewart,"<img src=""https://image.tmdb.org/t/p/w500/ryhCjTGqS6G6OprbR0qUEH355lA.jpg"" width=""300"">","Known for Twilight, The Huntsman: Winter's War, and Charlie's Angels"
Tom Holland,"<img src=""https://image.tmdb.org/t/p/w500/d4imT58b0w9YOK89fAtFbhNncoY.jpg"" width=""300"">","Known for Avengers: Infinity War, Spider-Man: Far From Home, and Spider-Man: No Way Home"
Akshay Kumar,"<img src=""https://image.tmdb.org/t/p/w500/1d77rFiN8h2JXE6vS8VCuc2k20J.jpg"" width=""300"">","Known for Housefull 5A, Sky Force, and Om Shanti Om"
Matt Damon,"<img src=""https://image.tmdb.org/t/p/w500/At3JgvaNeEN4Z4ESKlhhes85Xo3.jpg"" width=""300"">","Known for Thor: Ragnarok, Oppenheimer, and Interstellar"
Bryce Dallas Howard,"<img src=""https://image.tmdb.org/t/p/w500/l9KTey4DqwazBkUgIEqfvMDCkaq.jpg"" width=""300"">","Known for Deep Cover, Jurassic World: Fallen Kingdom, and Jurassic World Dominion"
Kate Beckinsale,"<img src=""https://image.tmdb.org/t/p/w500/s8XboSrYMSItcCHXwYCyZPOz8Jx.jpg"" width=""300"">","Known for Pearl Harbor, Canary Black, and Van Helsing"
Christopher Nolan,"<img src=""https://image.tmdb.org/t/p/w500/xuAIuYSmsUzKlUMBFGVZaWsY3DZ.jpg"" width=""300"">","Known for The Science of Interstellar, To End All War: Oppenheimer & the Atomic Bomb, and Interstellar: Nolan's Odyssey"
Steve Gerben,"<img src=""https://image.tmdb.org/t/p/w500/ih16WqF2Dpt2tC8T2RSOlHnMlJo.jpg"" width=""300"">",Known for Holly and the Hot Chocolate and Gilly and Keeves: The Special
Choi Hyun-wook,"<img src=""https://image.tmdb.org/t/p/w500/oHG5nnXAzkNBs0xEQlbwOaIFYPQ.jpg"" width=""300"">",Known for Mantis
Christine Bermas,"<img src=""https://image.tmdb.org/t/p/w500/7KPne6ysCl1ffWqYnDUWfye6vFP.jpg"" width=""300"">","Known for Ang Kapitbahay, Rita, and Kaskasero"
Shakib Khan,"<img src=""https://image.tmdb.org/t/p/w500/pmJvt5SBS1AwJqMSx6Ix8VtdKqQ.jpg"" width=""300"">","Known for Taandob, Toofan, and Borbaad"
Tom Selleck,"<img src=""https://image.tmdb.org/t/p/w500/3JaeMTmbrufVo6BZsLVeRQ9V7JR.jpg"" width=""300"">","Known for Meet the Robinsons, Midway, and Killers"
Denzel Washington,"<img src=""https://image.tmdb.org/t/p/w500/9Iyt3wbsla5bM6IzbICDVnBhkER.jpg"" width=""300"">","Known for Gladiator II, The Equalizer, and The Equalizer 3"
Jeff Goldblum,"<img src=""https://image.tmdb.org/t/p/w500/ceSmXnD0FUSTaq2WIrnZu9caL0t.jpg"" width=""300"">","Known for Jurassic World: Fallen Kingdom, Thor: Ragnarok, and Guardians of the Galaxy Vol. 2"
Elisha Cuthbert,"<img src=""https://image.tmdb.org/t/p/w500/lsNwsJjGZqgjVUI1mhtcDCuwES3.jpg"" width=""300"">","Known for The Girl Next Door, Old School, and Love Actually"
Emilia Clarke,"<img src=""https://image.tmdb.org/t/p/w500/wb8VfDPGpyqcFltnRcJR1Wj3h4Z.jpg"" width=""300"">","Known for Solo: A Star Wars Story, Me Before You, and Terminator Genisys"
Yoon Yool,"<img src=""https://image.tmdb.org/t/p/w500/21kdujBeL2hrJ50RyMxmuEsHZAT.jpg"" width=""300"">","Known for 24 Year Old Yoon Yul's Sexy Breasts, Invited Delivery Man, and Sisters Virus"
Joey King,"<img src=""https://image.tmdb.org/t/p/w500/b0diEOPPAxOOInWOP9koaqvqUvi.jpg"" width=""300"">","Known for Despicable Me 4, The Conjuring, and The Dark Knight Rises"
Lee Soo,"<img src=""https://image.tmdb.org/t/p/w500/hYncPen0QTLTH2oT6nejnM7bVW6.jpg"" width=""300"">","Known for Stepmom's Desire, Couple Exchange, and Aunt"
Ella Purnell,"<img src=""https://image.tmdb.org/t/p/w500/5PscK9HNXGFQMIxkpbR8ObB7vuR.jpg"" width=""300"">","Known for Miss Peregrine's Home for Peculiar Children, Army of the Dead, and The Legend of Tarzan"
Keira Knightley,"<img src=""https://image.tmdb.org/t/p/w500/pxzcVzTyJBKwfuyRLDtax1Jmr7o.jpg"" width=""300"">","Known for Pirates of the Caribbean: The Curse of the Black Pearl, Pirates of the Caribbean: Dead Man's Chest, and Pirates of the Caribbean: At World's End"
Katie Douglas,"<img src=""https://image.tmdb.org/t/p/w500/o4T5OxFcCTUHPU5wkSMChBiiQpo.jpg"" width=""300"">","Known for Clown in a Cornfield, The Girl Who Escaped: The Kara Robinson Story, and Believe Me: The Abduction of Lisa McVey"
Anya Taylor-Joy,"<img src=""https://image.tmdb.org/t/p/w500/yZpghhtKM2VZHDx6JGAZqAVU4PL.jpg"" width=""300"">","Known for The Gorge, Dune: Part Two, and The Super Mario Bros. Movie"
Cillian Murphy,"<img src=""https://image.tmdb.org/t/p/w500/llkbyWKwpfowZ6C8peBjIV9jj99.jpg"" width=""300"">","Known for Oppenheimer, 28 Days Later, and Inception"
Eva Green,"<img src=""https://image.tmdb.org/t/p/w500/b6r4HOLWsQdBgecGlNB4ydZSi9r.jpg"" width=""300"">","Known for Dirty Angels, Casino Royale, and Kingdom of Heaven"
Julianne Moore,"<img src=""https://image.tmdb.org/t/p/w500/3YF19rWusxWfEI59ZM33dFhasRq.jpg"" width=""300"">","Known for Echo Valley, Kingsman: The Golden Circle, and The Hunger Games: Mockingjay - Part 1"
Nicole Kidman,"<img src=""https://image.tmdb.org/t/p/w500/lfW2cDigTcvuoe4k6UfCdGVE1R6.jpg"" width=""300"">","Known for Babygirl, Aquaman and the Lost Kingdom, and Holland"
Liu Yuning,"<img src=""https://image.tmdb.org/t/p/w500/iCQIVw4Dh8nbXy13xy1VJX5snoh.jpg"" width=""300"">","Known for Line Walker 2: Invisible Spy, 江苏卫视2024跨年演唱会, and 2020湖南卫视拼多多双十二超拼夜"
Mel Gibson,"<img src=""https://image.tmdb.org/t/p/w500/bLzZZRyAsGJvQqsQ1hdptv93aIL.jpg"" width=""300"">","Known for Braveheart, Mad Max, and The Expendables 3"
